337.596	-23.93089
337.6043	-21.89805
337.6125	-20.99085
337.6208	-18.84381
337.629	-18.06335
337.6372	-17.70507
337.6455	1.272716
337.6537	23.20833
337.662	32.3793
337.6702	36.99246
337.6784	52.36068
337.6867	60.11919
337.6949	62.96145
337.7032	67.97007
337.7114	72.3386
337.7196	75.49879
337.7279	77.62645
337.7361	78.10645
337.7444	78.35221
337.7526	80.00314
337.7608	78.7663
337.7691	78.00083
337.7773	77.97295
337.7856	76.03708
337.7938	72.93514
337.802	70.90612
337.8103	63.91264
337.8185	56.06036
337.8268	53.6339
337.835	47.88935
337.8432	41.89395
337.8515	40.57071
337.8597	36.68927
337.868	24.10448
337.8762	19.97173
337.8844	18.53592
337.8927	13.47617
337.9009	8.042075
337.9091	6.821425
337.9174	3.164203
337.9256	-2.432937
337.9339	-4.929762
337.9421	-11.44786
337.9503	-34.66737
337.9586	-46.17681
337.9668	-51.21206
337.9751	-59.8824
337.9833	-66.84359
337.9915	-68.6909
337.9998	-81.39007
338.008	-93.08807
338.0163	-95.58782
338.0245	-101.8355
338.0327	-115.3001
338.041	-125.3777
338.0492	-135.959
338.0575	-149.0089
338.0657	-153.3523
338.0739	-155.2482
338.0822	-169.8001
338.0904	-184.2764
338.0987	-185.6233
338.1069	-191.5327
338.1151	-197.1545
338.1234	-199.6452
338.1316	-200.9262
338.1399	-202.4278
338.1481	-202.7125
338.1563	-201.271
338.1646	-200.5168
338.1728	-200.3952
338.1811	-198.7848
338.1893	-197.1258
338.1975	-187.408
338.2058	-176.9836
338.214	-171.5582
338.2223	-162.412
338.2305	-155.4993
338.2387	-150.856
338.247	-142.6894
338.2552	-130.4889
338.2635	-121.6703
338.2717	-111.3799
338.2799	-102.7724
338.2882	-101.0025
338.2964	-97.4678
338.3047	-73.9501
338.3129	-57.06665
338.3211	-52.01413
338.3294	-49.62249
338.3376	-48.18634
338.3459	-46.50948
338.3541	-46.13455
338.3623	-45.78916
338.3706	-44.10392
338.3788	-42.64674
338.3871	-40.98352
338.3953	-40.36834
338.4035	-40.44894
338.4118	-40.50686
338.42	-41.98252
338.4283	-43.75554
338.4365	-50.16787
338.4447	-55.88187
338.453	-58.7335
338.4612	-79.41291
338.4695	-92.19917
338.4777	-93.64139
338.4859	-98.1623
338.4942	-108.8995
338.5024	-118.1582
338.5107	-127.4035
338.5189	-138.8362
338.5271	-148.2697
338.5354	-150.9613
338.5436	-157.0067
338.5518	-165.6497
338.5601	-171.6629
338.5683	-178.0503
338.5766	-193.2323
338.5848	-203.4008
338.593	-214.667
338.6013	-232.6154
338.6095	-247.1034
338.6178	-253.1782
338.626	-271.6507
338.6342	-291.2147
338.6425	-299.6976
338.6507	-311.6176
